word,f_l1,f_l2,f_l3,f_l4,f_l5,,,,
ashet,596,77,111,2009,474,,,,
asked,596,77,260,2009,705,,,,
asker,596,77,260,2009,461,,,,
askoi,596,77,260,566,269,,,,
askos,596,77,260,566,3922,,,,
aspen,596,77,306,2009,400,,,,
asper,596,77,306,2009,461,,,,
aspic,596,77,306,722,96,,,,
aspie,596,77,306,722,1098,,,,
aspis,596,77,306,722,3922,,,,
aspro,596,77,306,567,331,,,,
assai,596,77,453,911,269,,,,
assam,596,77,453,911,140,,,,
asses,596,77,453,2009,3922,,,,
assez,596,77,453,2009,28,,,,
assot,596,77,453,566,474,,,,
aster,596,77,505,2009,461,,,,
astir,596,77,505,722,461,,,,
astun,596,77,505,319,400,,,,
asura,596,77,502,567,616,,,,
asway,596,77,245,911,937,,,,
aswim,596,77,245,722,140,,,,
asyla,596,77,184,609,616,,,,
ataps,596,162,929,368,3922,,,,
ataxy,596,162,929,9,937,,,,
atigi,596,162,785,347,269,,,,
atilt,596,162,785,609,474,,,,
atimy,596,162,785,334,937,,,,
atlas,596,162,736,911,3922,,,,
atman,596,162,450,911,400,,,,
atmas,596,162,450,911,3922,,,,
atmos,596,162,450,566,3922,,,,
atocs,596,162,749,259,3922,,,,
atoke,596,162,749,448,1098,,,,
atoks,596,162,749,448,3922,,,,
atoms,596,162,749,334,3922,,,,
atomy,596,162,749,334,937,,,,
atony,596,162,749,606,937,,,,
atopy,596,162,749,368,937,,,,
atria,596,162,1035,722,616,,,,
atrip,596,162,1035,722,91,,,,
attap,596,162,505,911,91,,,,
attar,596,162,505,911,461,,,,
atuas,596,162,502,911,3922,,,,
audad,596,1001,315,911,705,,,,
auger,596,1001,297,2009,461,,,,
aught,596,1001,297,207,474,,,,
aulas,596,1001,736,911,3922,,,,
aulic,596,1001,736,722,96,,,,
auloi,596,1001,736,566,269,,,,
aulos,596,1001,736,566,3922,,,,
aumil,596,1001,450,722,320,,,,
aunes,596,1001,825,2009,3922,,,,
aunts,596,1001,825,759,3922,,,,
aurae,596,1001,1035,911,1098,,,,
aural,596,1001,1035,911,320,,,,
aurar,596,1001,1035,911,461,,,,
auras,596,1001,1035,911,3922,,,,
aurei,596,1001,1035,2009,269,,,,
aures,596,1001,1035,2009,3922,,,,
auric,596,1001,1035,722,96,,,,
auris,596,1001,1035,722,3922,,,,
aurum,596,1001,1035,319,140,,,,
autos,596,1001,505,566,3922,,,,
auxin,596,1001,121,722,400,,,,
avale,596,37,929,609,1098,,,,
avant,596,37,929,606,474,,,,
avast,596,37,929,345,474,,,,
avels,596,37,705,609,3922,,,,
avens,596,37,705,606,3922,,,,
avers,596,37,705,567,3922,,,,
avgas,596,37,297,911,3922,,,,
avine,596,37,785,606,1098,,,,
avion,596,37,785,566,400,,,,
avise,596,37,785,345,1098,,,,
aviso,596,37,785,345,331,,,,
avize,596,37,785,106,1098,,,,
avows,596,37,749,103,3922,,,,
avyze,596,37,184,106,1098,,,,
awarn,596,119,929,567,400,,,,
awato,596,119,929,759,331,,,,
awave,596,119,929,110,1098,,,,
aways,596,119,929,105,3922,,,,
awdls,596,119,315,609,3922,,,,
aweel,596,119,705,2009,320,,,,
aweto,596,119,705,759,331,,,,
awing,596,119,785,606,102,,,,
awmry,596,119,450,567,937,,,,
awned,596,119,825,2009,705,,,,
awner,596,119,825,2009,461,,,,
awols,596,119,749,609,3922,,,,
awork,596,119,749,567,146,,,,
axels,596,43,705,609,3922,,,,
axile,596,43,785,609,1098,,,,
axils,596,43,785,609,3922,,,,
axing,596,43,785,606,102,,,,
axite,596,43,785,759,1098,,,,
axled,596,43,736,2009,705,,,,
axles,596,43,736,2009,3922,,,,
axman,596,43,450,911,400,,,,
axmen,596,43,450,2009,400,,,,
axoid,596,43,749,722,705,,,,
axone,596,43,749,606,1098,,,,
axons,596,43,749,606,3922,,,,
ayahs,596,248,929,207,3922,,,,
ayaya,596,248,929,105,616,,,,
ayelp,596,248,705,609,91,,,,
aygre,596,248,297,567,1098,,,,
ayins,596,248,785,606,3922,,,,
ayont,596,248,749,606,474,,,,
ayres,596,248,1035,2009,3922,,,,
ayrie,596,248,1035,722,1098,,,,
azans,596,27,929,606,3922,,,,
azide,596,27,785,402,1098,,,,
azido,596,27,785,402,331,,,,
azine,596,27,785,606,1098,,,,
azlon,596,27,736,566,400,,,,
azoic,596,27,749,722,96,,,,
azole,596,27,749,609,1098,,,,
azons,596,27,749,606,3922,,,,
azote,596,27,749,759,1098,,,,
azoth,596,27,749,759,231,,,,
azuki,596,27,502,448,269,,,,
azurn,596,27,502,567,400,,,,
azury,596,27,502,567,937,,,,
azygy,596,27,184,347,937,,,,
azyme,596,27,184,334,1098,,,,
azyms,596,27,184,334,3922,,,,
baaed,736,1959,929,2009,705,,,,
baals,736,1959,929,609,3922,,,,
babas,736,1959,278,911,3922,,,,
